Data-storage-ID,PI-ID,Origin country
AB-01,PI458020,Korea
AB-02,PI603713,China
BR-01,PI628809,Brazil
BR-02,BRS 232,Brazil
BR-03,PI675651,Brazil
BR-04,BRS 360RR,Brazil
BR-05,PI675666,Brazil
BR-06,PI675660,Brazil
BR-07,BRS Valiosa RR,Brazil
BR-08,BRSGO 8660,Brazil
BR-09,BRSMG 850 GRR,Brazil
BR-10,BRSMT Pintado,Brazil
BR-11,CD 201,Brazil
BR-12,PI663948,Brazil
BR-13,PI628838,Brazil
BR-14,PI628808,Brazil
BR-15,IAC 8,Brazil
BR-16,IAS 5,Brazil
BR-17,MG/BR46,Brazil
BR-18,NA 5909 RG,Brazil
BR-20,PI628879,Brazil
BR-23,PI628910,Brazil
BR-24,PI628911,Brazil
BR-29,BRSMT Uirapuru,Brazil
BR-30,PI628925,Brazil
BR-32,BRSGO Chapadões,Brazil
DT2000,PI635999,Vietnam
ESS,PI548667,USA
For,PI548645,USA
HN001,PI518664,USA
HN002,PI548402,China
HN003,PI89772,China
HN004,PI90763,China
HN005,PI404166,China
HN006,PI407788A,Korea
HN007,PI424298,Korea
HN008,PI437655,China
HN009,PI495017C,China
HN010,PI468915,China
HN011,PI507354,Japan
HN012,PI567305,China
HN013,S05-11482,USA
HN015,PI437654,China
HN016B,PI567387,China
HN017B,PI437725,China
HN018,PI437690,China
HN019,PI548402-2,China
HN021,PI209332,Japan
HN022,PI404198B,China
HN023,PI424608A,Korea
HN024,PI548316,China
HN025,PI567516C,China
HN026,PI612611,Korea
HN027,S10-11227,USA
HN028,PI572239,USA
HN029,IA3023,USA
HN030,PI598124,USA
HN031,PI79691-4,China
HN032,PI86006,Japan
HN033,PI87617,Korea
HN034,PI87631-1,Japan
HN035,PI196175,Korea
HN036,PI200471,Japan
HN037,PI200508,Japan
HN038,PI248515,Japan
HN039,PI366121,Japan
HN040,PI378702,Japan
HN041,PI398593,Korea
HN042,PI398595,Korea
HN043,PI398610,Korea
HN044,PI398614,Korea
HN045,PI407162,Korea
HN046,PI407184,Korea
HN047,PI407729,China
HN048,PI407965,Korea
HN049,PI408105A,Korea
HN050,PI416937,Japan
HN051,PI424078,Korea
HN052,PI424079,Korea
HN053,PI424088,Korea
HN054,PI437169B,Russia
HN055,PI437679,China
HN056,PI437863A,China
HN057,PI438258,China
HN058,PI458515,China
HN059,PI464920B,China
HN060,PI467312,China
HN061,PI471938,Nepal
HN062,PI475783B,China
HN063,PI483463,China
HN064,PI518751,Former Serbia
HN065,PI542044,USA
HN066,PI547862,USA
HN067,PI548317,China
HN068,PI548349,Korea
HN069,PI548415,China
HN070,PI548511,USA
HN071,PI548657,USA
HN072,PI549031,China
HN073,PI552538,USA
HN074,PI561271,China
HN075,PI567230,China
HN076,PI567336B,China
HN077,PI567343,China
HN078,PI567354,China
HN079,PI567357,China
HN080,PI567383,China
HN081,PI567519,China
HN082,PI567611,China
HN083,PI567651,China
HN084,PI567690,China
HN085,PI567719,China
HN086,PI567731,China
HN087,PI591539,USA
HN088,PI593258,USA
HN089,PI594012,Korea
HN090,PI594512A,China
HN091,PI594599,China
HN092,PI597387,USA
HN093,PI603154,Korea
HN094,PI603170,Korea
HN095,PI603175,Korea
HN096,PI603176A,Korea
HN097,PI603497,China
HN098,PI605869A,Vietnam
HN099,PI639740,USA
HN100,PI647086,USA
HN101,PI658519,USA
HN104,FC31721,ND
HN105,PI438471,Sweden
HN106,PI417091,Japan
HN107,PI417015,Japan
HN108,PI229343,Japan
HNEX-01,FC4007B,ND
HNEX-02,PI68508,China
HNEX-04,PI68600,China
HNEX-06,PI800471,Japan
HNEX-07,PI86050,Japan
HNEX-08,PI90566-1,China
HNEX-09,PI91730-1,China
HNEX-10,PI189930,France
HNEX-11,PI227328,Japan
HNEX-13,PI253665D,China
HNEX-14,PI283331,Morocco
HNEX-16,PI297515,Hungary
HNEX-17,PI297544,Russia
HNEX-18,PI361064,Romania
HNEX-19,PI361066A,Romania
HNEX-20,PI370059,Russia
HNEX-21,PI384469A,Russia
HNEX-23,PI391594,China
HNEX-24,PI404157,Russia
HNEX-25,PI407710,China
HNEX-26,PI407720,China
HNEX-27,PI424159B,Korea
HNEX-28,PI424195B,Hungary
HNEX-29,PI427099,China
HNEX-30,PI436682,China
HNEX-32,PI437851A,China
HNEX-33,PI438151,China
HNEX-34,PI438206,China
HNEX-35,PI445830,Romania
HNEX-36,PI445837,Romania
HNEX-37,PI458511,China
HNEX-38,PI468377,China
HNEX-39,PI561319A,China
HNEX-40,PI561377,Japan
HNSM-01,PI567139B,Indonesia
HNSM-02,PI407985,Korea
HNSM-03,PI408319C,Korea
HNSM-04,PI157432,Korea
HNSM-05,PI200543,Japan
HNSM-06,PI200553,Japan
HNSM-07,PI398666,Korea
HNSM-08,PI398775,Korea
HNSM-09,PI398791,Korea
HNSM-10,PI398946,Korea
HNSM-11,PI399004,Korea
HNSM-12,PI424237A,Korea
HNSM-13,PI424237B,Korea
