Data-storage-ID,PI-ID,Maturity group
AB-01,PI458020,IV
AB-02,PI603713,V
BR-01,PI628809,VI
BR-02,BRS 232,VII
BR-03,PI675651,VI
BR-04,BRS 360RR,VI
BR-05,PI675666,VII
BR-06,PI675660,IX
BR-07,BRS Valiosa RR,VIII
BR-08,BRSGO 8660,VIII
BR-09,BRSMG 850 GRR,VIII
BR-10,BRSMT Pintado,VIII
BR-11,CD 201,VI
BR-12,PI663948,VII
BR-13,PI628838,VII
BR-14,PI628808,VIII
BR-15,IAC 8,VIII
BR-16,IAS 5,VI
BR-17,MG/BR46,VIII
BR-18,NA 5909 RG,VI
BR-20,PI628879,V
BR-23,PI628910,V
BR-24,PI628911,V
BR-29,BRSMT Uirapuru,IX
BR-30,PI628925,VIII
BR-32,BRSGO Chapadões,IX
DT2000,PI635999,VI
ESS,PI548667,V
For,PI548645,IV
HN001,PI518664,V
HN002,PI548402,IV
HN003,PI89772,IV
HN004,PI90763,IV
HN005,PI404166,III
HN006,PI407788A,IV
HN007,PI424298,IV
HN008,PI437655,III
HN009,PI495017C,IV
HN010,PI468915,II
HN011,PI507354,I
HN012,PI567305,IV
HN013,S05-11482,V
HN015,PI437654,III
HN016B,PI567387,IV
HN017B,PI437725,IV
HN018,PI437690,III
HN019,PI548402-2,IV
HN021,PI209332,IV
HN022,PI404198B,IV
HN023,PI424608A,IV
HN024,PI548316,III
HN025,PI567516C,IV
HN026,PI612611,III
HN027,S10-11227,V
HN028,PI572239,V
HN029,IA3023,IV
HN030,PI598124,III
HN031,PI79691-4,III
HN032,PI86006,III
HN033,PI87617,III
HN034,PI87631-1,III
HN035,PI196175,V
HN036,PI200471,III
HN037,PI200508,I
HN038,PI248515,IV
HN039,PI366121,IV
HN040,PI378702,IV
HN041,PI398593,V
HN042,PI398595,V
HN043,PI398610,V
HN044,PI398614,V
HN045,PI407162,IV
HN046,PI407184,IV
HN047,PI407729,IV
HN048,PI407965,V
HN049,PI408105A,IV
HN050,PI416937,VI
HN051,PI424078,III
HN052,PI424079,IV
HN053,PI424088,IV
HN054,PI437169B,II
HN055,PI437679,IV
HN056,PI437863A,II
HN057,PI438258,II
HN058,PI458515,IV
HN059,PI464920B,III
HN060,PI467312,II
HN061,PI471938,V
HN062,PI475783B,III
HN063,PI483463,III
HN064,PI518751,II
HN065,PI542044,III
HN066,PI547862,III
HN067,PI548317,III
HN068,PI548349,III
HN069,PI548415,IV
HN070,PI548511,II
HN071,PI548657,VII
HN072,PI549031,III
HN073,PI552538,III
HN074,PI561271,V
HN075,PI567230,V
HN076,PI567336B,IV
HN077,PI567343,V
HN078,PI567354,IV
HN079,PI567357,III
HN080,PI567383,V
HN081,PI567519,III
HN082,PI567611,IV
HN083,PI567651,IV
HN084,PI567690,III
HN085,PI567719,IV
HN086,PI567731,III
HN087,PI591539,III
HN088,PI593258,III
HN089,PI594012,V
HN090,PI594512A,VII
HN091,PI594599,IV
HN092,PI597387,III
HN093,PI603154,V
HN094,PI603170,IV
HN095,PI603175,IV
HN096,PI603176A,IV
HN097,PI603497,III
HN098,PI605869A,V
HN099,PI639740,IV
HN100,PI647086,VIII
HN101,PI658519,IV
HN104,FC31721,VI
HN105,PI438471,00
HN106,PI417091,II
HN107,PI417015,III
HN108,PI229343,IV
HNEX-01,FC4007B,III
HNEX-02,PI68508,II
HNEX-04,PI68600,II
HNEX-06,PI800471,II
HNEX-07,PI86050,II
HNEX-08,PI90566-1,III
HNEX-09,PI91730-1,III
HNEX-10,PI189930,II
HNEX-11,PI227328,III
HNEX-13,PI253665D,III
HNEX-14,PI283331,III
HNEX-16,PI297515,II
HNEX-17,PI297544,II
HNEX-18,PI361064,II
HNEX-19,PI361066A,I
HNEX-20,PI370059,I
HNEX-21,PI384469A,I
HNEX-23,PI391594,II
HNEX-24,PI404157,I
HNEX-25,PI407710,I
HNEX-26,PI407720,II
HNEX-27,PI424159B,IV
HNEX-28,PI424195B,I
HNEX-29,PI427099,I
HNEX-30,PI436682,I
HNEX-32,PI437851A,I
HNEX-33,PI438151,I
HNEX-34,PI438206,I
HNEX-35,PI445830,I
HNEX-36,PI445837,I
HNEX-37,PI458511,II
HNEX-38,PI468377,00
HNEX-39,PI561319A,II
HNEX-40,PI561377,II
HNSM-01,PI567139B,ND
HNSM-02,PI407985,IV
HNSM-03,PI408319C,IV
HNSM-04,PI157432,V
HNSM-05,PI200543,VII
HNSM-06,PI200553,VI
HNSM-07,PI398666,IV
HNSM-08,PI398775,IV
HNSM-09,PI398791,IV
HNSM-10,PI398946,IV
HNSM-11,PI399004,IV
HNSM-12,PI424237A,IV
HNSM-13,PI424237B,VI
HNSM-14,PI424477,IV
HNSM-15,PI398440,IV
HNSM-16,PI399079,IV
HNSM-17,PI408029,IV
HNSM-18,PI408097,IV
HNSM-19,PI408111,IV
HNSM-20,PI408132,IV
HNSM-21,PI273483D,IV
HNSM-22,V71-370,IV
HNSM-23,PI427106,II
HNSM-24,PI427105B,II
HNSM-25,PI525453,II
HNSM-26,PI548616,II
HNSM-27,PI407076,ND
HNSM-28,PI507582,ND
HNSM-29,PI507597,ND
HNSM-30,PI507621,ND
HNSM-31,PI507794,ND
HNSM-32,PI562539,ND
HNSM-33,PI562547,ND
HNSM-34A,Unknown,ND
HNSM-35a,Unknown,ND
HNY-01,R11-7999,V
HNY-02,R10-5828,V
HNY-03,R02-6268,V
HNY-04,R08-1450,V
HNY-05,R05-655,V
HNY-06,R07-2000,V
HNY-07,PI567425B,III
HNY-08,PI597473,V
HNY-09,PI567671A,III
HNY-10,PI567614B,IV
HNY-11,SS98-3403,IV
HNY-12,LG11-8737,IV
HNY-13,LG11-8744,IV
HNY-14,PI483464 A,III
HNY-15,S12-1879,IV
HNY-16,S12-2894,IV
HNY-17,S09-9943,IV
HNY-18,S12-2994M,IV
HNY-19,S12-3187,IV
HNY-20,S11-17025,IV
HNY-21,S11-16195,IV
HNY-22,S08-17361,IV
HNY-23,S09-13185,IV
HNY-24,OSAGE,ND
HNY-25,ANAND,ND
HNY-26,STODDARD,ND
HNY-27,JTN 5503,ND
HNY-28,560 IT,ND
HNY-29,S07-5049,IV
HNY-30,S07-5117,IV
HNY-31,S07-6699,IV
HNY-32,PI654356,IV
HNY-33,PI595645,VII
HNY-38,LG04-5196,IV
HNY-39,LG04-6000,IV
HNY-40,U98-311442,III
HNY-41,PI606748,IV
HNY-42,PI340042,IV
HNY-43,LD04-13265,IV
HNY-44,Woodruff,VIII
HNY-45,PI553045,VIII
HNY-46,PI615694,VII
HNY-47,PI602597,VI
HNY-48,PI483460B,III
HNY-49,Uram,ND
HNY-50,PI468916,III
HNY-51,PI548352,III
HNY-52,PI548379,0
HNY-53,PI360955A,000
HNY-54,PI653935,III
HNY-55,PI248399,0
HNY-56,LG11-8690,IV
HNY-57,LG11-8706,IV
HNY-58,PI619083,V
HNY-59,PI543795,V
PI342622A,PI342622A,I
PI378683,PI378683,ND
PI378684A,PI378684A,ND
PI378684B,PI378684B,ND
PI378690,PI378690,ND
PI378696A,PI378696A,ND
PI378696B,PI378696B,ND
PI378698,PI378698,ND
PI378699A,PI378699A,ND
PI407020,PI407020,ND
PI407038,PI407038,ND
PI407042,PI407042,ND
PI407052,PI407052,ND
PI407077,PI407077,ND
PI407083,PI407083,ND
PI407085,PI407085,ND
PI407096,PI407096,ND
PI407156,PI407156,ND
PI407171,PI407171,IV
PI407175,PI407175,IV
PI407179,PI407179,ND
PI407183,PI407183,ND
PI407191,PI407191,ND
PI407202,PI407202,ND
PI407214,PI407214,ND
PI407220,PI407220,ND
PI407228,PI407228,ND
PI407229,PI407229,ND
PI407231,PI407231,ND
PI407239,PI407239,ND
PI407240,PI407240,ND
PI407241,PI407241,ND
PI407243,PI407243,ND
PI407262,PI407262,ND
PI407270,PI407270,ND
PI407281,PI407281,ND
PI407286,PI407286,ND
PI407287,PI407287,ND
PI407300,PI407300,ND
PI407303,PI407303,ND
PI407307,PI407307,ND
PI407308,PI407308,ND
PI407315,PI407315,ND
PI407318A,PI407318A,ND
PI424004B,PI424004B,II
PI424007,PI424007,ND
PI424008A,PI424008A,ND
PI424014,PI424014,ND
PI424025B,PI424025B,ND
PI424045,PI424045,ND
PI424070B,PI424070B,ND
PI424083A,PI424083A,ND
PI424102A,PI424102A,ND
PI424107A,PI424107A,ND
PI447003A,PI447003A,0
PI464890B,PI464890B,I
PI464925B,PI464925B,0
PI468918,PI468918,III
PI479746B,PI479746B,II
PI479768,PI479768,0
PI483466,PI483466,ND
PI507609,PI507609,ND
PI507615,PI507615,ND
PI507618,PI507618,ND
PI507619B,PI507619B,ND
PI507624,PI507624,ND
PI507638,PI507638,ND
PI507641,PI507641,ND
PI507667,PI507667,ND
PI507752,PI507752,ND
PI507757,PI507757,ND
PI507761,PI507761,ND
PI507830B,PI507830B,ND
PI507847,PI507847,ND
PI522209B,PI522209B,ND
PI522235B,PI522235B,ND
PI532450,PI532450,ND
PI549032,PI549032,ND
PI549047,PI549047,ND
PI549048,PI549048,ND
PI562534,PI562534,ND
PI562551,PI562551,ND
PI562553,PI562553,ND
PI562557,PI562557,ND
PI562558,PI562558,ND
PI562564,PI562564,ND
PI562568,PI562568,ND
PI597448D,PI597448D,ND
PI597458B,PI597458B,ND
PI597458C,PI597458C,ND
