Data-storage-ID,PI-ID,Group in violin table
SRR1533284,PI416890,landrace
SRR1533282,PI323576,landrace
SRR1533292,PI157421,landrace
SRR1533216,PI594615,landrace
SRR1533239,PI603336,landrace
USB-108,PI165675,landrace
HNEX-13,PI253665D,landrace
USB-382,PI603549,landrace
SRR1533236,PI587552,landrace
SRR1533332,PI567293,landrace
AB-02,PI603713,landrace
HNEX-14,PI283331,landrace
SRR1533229,PI416971,landrace
HNSM-23,PI427106,landrace
USB-122,PI291294,landrace
USB-596,PI468919,landrace
HNSM-06,PI200553,landrace
SRR1533259,PI594788,landrace
SRR1533326,PI594579,landrace
HNSM-19,PI408111,landrace
HNEX-09,PI91730-1,landrace
USB-035,PI549018,landrace
HNEX-18,PI361064,landrace
HNSM-22,V71-370,landrace
USB-782,PI603502A,landrace
USB043,PI578309,landrace
HNEX-10,PI189930,landrace
HNEX-21,PI384469A,landrace
HNEX-30,PI436682,landrace
HNEX-32,PI437851A,landrace
HNSM-09,PI398791,landrace
USB-762,PI602492,landrace
SRR1533303,PI587666,landrace
HNSM-03,PI408319C,landrace
AB-01,PI458020,landrace
HNEX-40,PI561377,landrace
HNEX-11,PI227328,landrace
HNEX-20,PI370059,landrace
SRR1533248,PI398296,landrace
HNSM-02,PI407985,landrace
HNSM-01,PI567139B,landrace
USB-014,PI468908,landrace
HNEX-34,PI438206,landrace
SRR1533295,PI567364,landrace
HNSM-21,PI273483D,landrace
USB-566,PI437594A,landrace
SRR1533235,PI507355,landrace
USB-050,PI603442,landrace
HNEX-08,PI90566-1,landrace
SRR1533272,PI437653,landrace
HNSM-17,PI408029,landrace
USB020,PI603458A,landrace
HNSM-04,PI157432,landrace
USB-319,PI567548,landrace
SRR1533278,PI567189A,landrace
HNEX-17,PI297544,landrace
SRR1533221,PI467343,landrace
HNSM-12,PI424237A,landrace
HNSM-16,PI399079,landrace
HNSM-13,PI424237B,landrace
USB-362,PI597471A,landrace
HNEX-02,PI68508,landrace
HNEX-06,PI800471,landrace
HNEX-39,PI561319A,landrace
HNEX-07,PI86050,landrace
HNSM-18,PI408097,landrace
SRR1533314,PI588053A,landrace
HNEX-19,PI361066A,landrace
HNEX-24,PI404157,landrace
HNEX-36,PI445837,landrace
USB-456,PI88508,landrace
SRR1533333,PI407849,landrace
HNSM-24,PI427105B,landrace
HNEX-01,FC4007B,landrace
USB-814,PI632943B,landrace
USB-037,PI549041A,landrace
SRR1533315,PI594629,landrace
USB-812,PI632654,landrace
HNEX-25,PI407710,landrace
HNEX-37,PI458511,landrace
HNEX-04,PI68600,landrace
HNEX-16,PI297515,landrace
SRR1533324,PI317336,landrace
HNSM-07,PI398666,landrace
HNSM-11,PI399004,landrace
SRR1533301,PI423954,landrace
SRR1533288,PI603357,landrace
HNSM-15,PI398440,landrace
HNEX-33,PI438151,landrace
HNSM-08,PI398775,landrace
HNSM-20,PI408132,landrace
HNSM-05,PI200543,landrace
USB-459,PI90369,landrace
HNSM-14,PI424477,landrace
HNEX-23,PI391594,landrace
HNEX-35,PI445830,landrace
HNSM-10,PI398946,landrace
USB-447,PI86982,landrace
HNEX-29,PI427099,landrace
SRR1533220,PI196166,landrace
USB-012,PI437265D,landrace
SRR1533341,PI243541,landrace
HNEX-38,PI468377,landrace
USB004,PI166105,landrace
SRR1533286,PI424391,landrace
USB-310,PI567416,landrace
SRR1533310,PI317334A,landrace
USB-163,PI424038B,landrace
USB-756,PI594839A,landrace
HNEX-26,PI407720,landrace
USB-690,PI567556,landrace
USB-655,PI567056A,landrace
USB-047,PI594307,landrace
USB-409,PI322692,landrace
HNEX-28,PI424195B,landrace
USB-585,PI438312,landrace
SRR1533285,PI587752,landrace
