Line	Oil
SRR1533369	25.4
SRR1533328	25.1
HN080	24.7
HN001	23.6
HNEX-08	23.6
USB-222	23.5
USB022	23.5
USB-039	23.5
HNEX-23	23
SRR1533444	22.9
SRR1533385	22.8
USB-454	22.7
USB-516	22.5
USB032	22.5
USB-455	22.5
HNEX-10	22.3
SRR1533438	22.3
USB-502	22.2
USB-348	22.2
USB-089	22.2
USB-620	22.1
HN054	22
USB-611	22
USB-768	22
USB-127	21.9
USB-215	21.9
HNEX-02	21.9
USB-452	21.9
SRR1533365	21.8
USB-438	21.8
HNEX-38	21.7
USB-608	21.7
USB025	21.7
SRR1533429	21.7
SRR1533351	21.7
USB-422	21.7
USB-079	21.7
SRR1533415	21.6
USB-036	21.6
USB-713	21.6
USB-453	21.6
USB-469	21.6
USB-179	21.5
HNY-59	21.5
HNEX-07	21.5
USB-463	21.5
USB-002	21.4
USB-126	21.4
SRR1533221	21.4
USB-246	21.4
SRR1533442	21.4
USB-269	21.4
SRR1533427	21.4
USB-347	21.4
USB-443	21.4
USB-447	21.4
USB005	21.3
USB-514	21.3
USB-192	21.3
HN059	21.3
USB-234	21.3
USB-619	21.3
USB026	21.3
SRR1533332	21.3
SRR1533285	21.3
USB-067	21.3
USB-088	21.3
USB-468	21.3
HNEX-25	21.2
USB-545	21.2
USB-578	21.2
HNEX-35	21.2
HNEX-36	21.2
USB-260	21.2
USB-268	21.2
USB-658	21.2
USB-328	21.2
USB-435	21.2
USB-087	21.2
USB006	21.1
USB-125	21.1
HNEX-37	21.1
USB-229	21.1
HN064	21.1
SRR1533423	21.1
USB-640	21.1
HN073	21.1
USB-041	21.1
SRR1533336	21.1
USB-464	21.1
USB-119	21
HN061	21
USB033	21
HNSM-26	21
For	21
SRR1533356	21
HNEX-39	21
USB-333	21
USB-807	21
USB-428	21
USB-446	21
HN033	21
USB-492	20.9
HNEX-13	20.9
HN065	20.9
SRR1533279	20.9
ESS	20.9
USB-284	20.9
USB-293	20.9
SRR1533302	20.9
USB-437	20.9
USB-476	20.9
USB-506	20.8
USB-510	20.8
USB-149	20.8
USB-593	20.8
USB-255	20.8
USB-266	20.8
USB-708	20.8
USB-341	20.8
USB-442	20.8
HNEX-30	20.7
USB-546	20.7
USB-568	20.7
SRR1533257	20.7
SRR1533371	20.7
USB-281	20.7
USB-666	20.7
USB-678	20.7
USB-701	20.7
USB-325	20.7
USB-369	20.7
USB-421	20.7
USB-465	20.7
USB-213	20.6
USB-023	20.6
USB-330	20.6
USB-065	20.6
SRR1533348	20.6
SRR1533230	20.6
BR-24	20.6
USB-451	20.6
USB-472	20.6
USB-189	20.5
USB-208	20.5
USB-607	20.5
HNSM-25	20.5
USB-613	20.5
SRR1533389	20.5
USB-358	20.5
HNY-26	20.5
USB-076	20.5
USB-059	20.4
USB-060	20.4
HNEX-32	20.4
USB-240	20.4
SRR1533378	20.4
HN067	20.4
HNY-47	20.4
USB-370	20.4
USB-425	20.4
USB-080	20.4
USB-504	20.3
HN008	20.3
HN056	20.3
USB-589	20.3
HN105	20.3
USB-217	20.3
USB-236	20.3
USB-062	20.3
SRR1533299	20.3
USB-271	20.3
USB-707	20.3
HNEX-04	20.3
USB-426	20.3
USB-007	20.2
SRR1533310	20.2
HNEX-28	20.2
USB-233	20.2
SRR1533345	20.2
USB-633	20.2
USB-291	20.2
USB-351	20.2
SRR1533288	20.2
USB-066	20.2
USB-069	20.2
USB-430	20.2
HNEX-06	20.2
USB-479	20.2
HNY-55	20.1
USB-534	20.1
USB-166	20.1
USB-580	20.1
USB-063	20.1
USB-259	20.1
HN078	20.1
USB-074	20.1
USB-078	20.1
USB-094	20.1
HNEX-11	20
USB-139	20
USB-145	20
USB-559	20
HN009	20
USB-612	20
USB-258	20
SRR1533312	20
USB-632	20
USB-265	20
USB-392	20
USB-072	20
USB-462	20
USB-093	20
USB-102	19.9
USB-153	19.9
USB-160	19.9
HNSM-24	19.9
SRR1533231	19.9
USB-256	19.9
HNEX-40	19.9
USB-679	19.9
USB-313	19.9
SRR1533446	19.9
USB-353	19.9
SRR1533259	19.9
USB-068	19.9
USB-427	19.9
USB-071	19.9
USB-073	19.9
USB-086	19.9
USB-415	19.8
USB-512	19.8
USB-563	19.8
USB-567	19.8
USB-615	19.8
USB-061	19.8
SRR1533395	19.8
HN071	19.8
USB-689	19.8
USB-715	19.8
HNY-46	19.8
USB-432	19.8
USB-150	19.7
USB-529	19.7
USB-579	19.7
USB-617	19.7
SRR1533384	19.7
USB-637	19.7
USB-058	19.7
USB-674	19.7
SRR1533326	19.7
USB-761	19.7
USB-460	19.7
HNEX-09	19.7
USB-473	19.7
USB-096	19.7
USB-481	19.7
SRR1533220	19.6
HNEX-24	19.6
USB-154	19.6
USB-168	19.6
USB-555	19.6
USB-570	19.6
HNEX-33	19.6
USB-221	19.6
SRR1533235	19.6
SRR1533387	19.6
HNY-52	19.6
USB-279	19.6
USB-285	19.6
USB-311	19.6
USB-755	19.6
HN093	19.6
USB-765	19.6
USB-070	19.6
USB-077	19.6
USB-095	19.6
USB-132	19.5
HNEX-21	19.5
USB-531	19.5
SRR1533338	19.5
USB-161	19.5
USB-544	19.5
USB-549	19.5
USB-577	19.5
USB-203	19.5
USB-220	19.5
SRR1533451	19.5
USB-024	19.5
USB-029	19.5
HN074	19.5
USB-283	19.5
USB042	19.5
SRR1533303	19.5
USB-429	19.5
USB-440	19.5
USB-456	19.5
HNEX-01	19.4
HN108	19.4
HNEX-16	19.4
USB-134	19.4
USB-141	19.4
USB-152	19.4
USB-191	19.4
USB-584	19.4
USB-595	19.4
USB-603	19.4
SRR1533362	19.4
USB-270	19.4
SRR1533295	19.4
HN088	19.4
HN092	19.4
USB-108	19.3
USB-497	19.3
USB-409	19.3
HNEX-26	19.3
USB-177	19.3
HN070	19.3
USB-416	19.3
USB-319	19.3
USB-690	19.3
USB-712	19.3
SRR1533314	19.3
USB-467	19.3
USB-098	19.3
USB-414	19.2
HN036	19.2
HNEX-17	19.2
USB-537	19.2
HNSM-23	19.2
HN062	19.2
USB-599	19.2
HN011	19.2
USB-212	19.2
USB-635	19.2
USB-272	19.2
USB-309	19.2
USB-318	19.2
SRR1533381	19.2
USB-382	19.2
USB-423	19.2
USB-081	19.2
USB-466	19.2
USB-470	19.2
USB-412	19.1
USB-109	19.1
USB009	19.1
USB-151	19.1
USB-175	19.1
USB-565	19.1
USB-569	19.1
USB-591	19.1
USB-216	19.1
USB-015	19.1
USB-235	19.1
USB-609	19.1
SRR1533366	19.1
USB-687	19.1
USB046	19.1
USB-417	19.1
SRR1533271	19.1
USB-433	19.1
USB-445	19.1
SRR1533269	19
HNEX-19	19
USB-185	19
USB-583	19
USB-064	19
SRR1533297	19
HNY-51	19
USB-411	19
USB045	19
PI602450	19
USB-092	19
USB-474	19
USB-496	18.9
HNEX-14	18.9
HNY-53	18.9
SRR1533248	18.9
USB-157	18.9
HNSM-12	18.9
USB-173	18.9
USB-187	18.9
USB-276	18.9
USB-699	18.9
USB-756	18.9
USB-777	18.9
USB-436	18.9
USB-085	18.9
USB-449	18.9
HN004	18.9
SRR1533324	18.8
USB-143	18.8
USB-550	18.8
USB-554	18.8
USB-195	18.8
USB-209	18.8
USB018	18.8
USB-263	18.8
HNY-45	18.8
USB-038	18.8
SRR1533216	18.8
USB-048	18.8
USB-364	18.8
USB-419	18.8
HNEX-20	18.7
USB-155	18.7
USB017	18.7
USB-242	18.7
SRR1533419	18.7
USB-696	18.7
USB-332	18.7
USB-733	18.7
USB-752	18.7
HN030	18.7
USB-075	18.7
USB-475	18.7
USB-478	18.7
USB-097	18.7
USB-104	18.6
USB-147	18.6
HNEX-27	18.6
HNSM-13	18.6
USB-558	18.6
USB-616	18.6
USB-642	18.6
USB-684	18.6
USB-317	18.6
USB-718	18.6
USB-735	18.6
USB-741	18.6
USB-758	18.6
USB-771	18.6
USB-486	18.5
USB-498	18.5
USB-122	18.5
USB-521	18.5
HNEX-29	18.5
SRR1533272	18.5
USB-193	18.5
USB-587	18.5
USB-210	18.5
USB-016	18.5
HN002	18.5
HN079	18.5
USB-312	18.5
USB-762	18.5
USB-373	18.5
HN031	18.5
USB-448	18.5
USB-477	18.5
USB-575	18.4
USB-590	18.4
HN024	18.4
USB-257	18.4
USB-322	18.4
USB-335	18.4
HN089	18.4
USB-418	18.4
USB-424	18.4
USB-091	18.4
USB-484	18.3
USB-188	18.3
USB-196	18.3
USB-204	18.3
USB-218	18.3
SRR1533441	18.3
USB-277	18.3
USB-044	18.3
HNY-33	18.3
HNSM-03	18.2
USB-664	18.2
USB-303	18.2
USB-439	18.2
USB-480	18.2
USB-116	18.1
USB-124	18.1
USB010	18.1
HNSM-09	18.1
SRR1533333	18.1
USB013	18.1
USB-238	18.1
HN068	18.1
SRR1533283	18.1
USB-261	18.1
USB-630	18.1
USB-691	18.1
USB-326	18.1
HN028	18.1
USB-374	18.1
USB-431	18.1
USB-450	18.1
HN034	18.1
USB-518	18
USB-525	18
USB-528	18
USB-186	18
USB-198	18
USB-201	18
USB-278	18
USB-673	18
USB-694	18
USB-703	18
SRR1533236	18
USB-371	18
USB-779	18
USB-375	18
HNY-41	18
HNEX-18	17.9
USB-548	17.9
USB-012	17.9
USB-178	17.9
USB-202	17.9
USB-670	17.9
USB-700	17.9
HN090	17.9
USB-459	17.9
USB-131	17.8
USB011	17.8
USB-551	17.8
USB-180	17.8
USB-184	17.8
USB-586	17.8
USB-302	17.8
HN086	17.8
USB-339	17.8
USB-769	17.8
USB-135	17.7
SRR1533286	17.7
USB-650	17.7
USB-682	17.7
USB-336	17.7
USB-730	17.7
HNSM-04	17.6
USB-500	17.6
HNSM-07	17.6
USB-524	17.6
USB-527	17.6
HN049	17.6
USB-171	17.6
USB-561	17.6
USB-566	17.6
USB-571	17.6
USB-581	17.6
USB-582	17.6
HNEX-34	17.6
AB-01	17.6
USB-597	17.6
USB-307	17.6
HN081	17.6
USB-327	17.6
USB-705	17.6
USB-728	17.6
USB-346	17.6
USB-441	17.6
USB-488	17.5
USB-113	17.5
HN037	17.5
HN021	17.5
USB-117	17.5
USB-556	17.5
USB-262	17.5
USB-655	17.5
USB-315	17.5
USB-383	17.5
USB-052	17.5
HN003	17.5
HNSM-05	17.4
HN038	17.4
USB-592	17.4
HN082	17.4
USB-717	17.4
USB-734	17.4
HNSM-08	17.3
HN058	17.3
USB-241	17.3
USB031	17.3
USB-316	17.3
USB-710	17.3
USB-711	17.3
USB-750	17.3
USB-100	17.2
USB-103	17.2
HNSM-21	17.2
HNSM-19	17.2
USB-162	17.2
USB-594	17.2
USB-663	17.2
USB-737	17.2
USB-802	17.2
USB003	17.2
HN048	17.1
USB-656	17.1
USB-672	17.1
USB-784	17.1
USB-794	17.1
HN044	17
HNSM-20	17
HN107	17
USB-183	17
USB-576	17
USB-254	17
SRR1533278	17
HN083	17
USB-719	17
USB-740	17
USB-786	17
USB-386	17
SRR1533292	16.9
USB-489	16.9
HN010	16.9
USB-224	16.9
HN069	16.9
USB-688	16.9
USB-345	16.9
USB-361	16.9
USB-363	16.9
USB-049	16.9
HN026	16.9
USB-444	16.9
USB-148	16.8
USB-158	16.8
USB-614	16.8
USB-314	16.8
HN084	16.8
USB-795	16.8
AB-02	16.8
HN032	16.8
USB-110	16.7
USB-112	16.7
USB-526	16.7
SRR1533229	16.7
USB-226	16.7
USB-308	16.7
USB-310	16.7
USB-320	16.7
USB-334	16.7
USB-793	16.7
SRR1533341	16.6
HNSM-15	16.6
HNSM-18	16.6
USB-540	16.6
USB-573	16.6
USB-223	16.6
USB-634	16.6
HN012	16.6
HN016B	16.6
USB-732	16.6
USB-776	16.6
HN104	16.5
USB-140	16.5
HNSM-02	16.5
HN106	16.5
USB-199	16.5
SRR1533204	16.5
USB-040	16.5
HN085	16.5
USB-354	16.5
USB-366	16.5
USB-778	16.5
USB-781	16.5
USB-090	16.5
HN035	16.4
HN043	16.4
USB-156	16.4
USB-560	16.4
USB-629	16.4
USB-298	16.4
HNY-09	16.4
USB-338	16.4
USB-751	16.4
USB-167	16.3
HN057	16.3
USB-381	16.3
HNSM-16	16.2
HN047	16.2
USB-530	16.2
SRR1533301	16.2
USB-604	16.2
USB-245	16.2
USB-773	16.2
USB-803	16.2
USB-084	16.2
HNSM-17	16.1
USB-553	16.1
USB-574	16.1
USB-669	16.1
USB-697	16.1
USB-772	16.1
USB-782	16.1
USB-792	16.1
HNSM-10	16
HNSM-11	16
PI549048	16
USB-342	16
USB-133	15.9
USB-628	15.9
USB-304	15.9
SRR1533239	15.9
USB-377	15.9
USB-798	15.9
USB-387	15.9
TC21	15.9
USB-106	15.8
HNSM-14	15.8
USB-541	15.8
SRR1533290	15.8
SRR1533266	15.8
USB043	15.8
USB-331	15.8
USB-753	15.8
USB020	15.8
USB-780	15.8
USB-385	15.8
USB-115	15.7
USB-677	15.7
USB-357	15.7
USB-376	15.7
USB-494	15.6
HN050	15.6
USB-533	15.6
HN023	15.6
USB-294	15.6
SRR1533243	15.6
USB-788	15.6
USB-384	15.6
USB-520	15.5
HN005	15.5
SRR1533284	15.5
HN017B	15.5
USB-101	15.4
USB-505	15.4
USB-170	15.4
HN076	15.4
HNY-07	15.4
USB-324	15.4
USB-602	15.3
USB-367	15.3
USB-378	15.3
USB-787	15.3
