Line	Yield
USB-756	0.08
USB-014	0.09
USB-035	0.14
USB-499	0.15
USB-755	0.16
USB-047	0.17
USB-742	0.25
USB-227	0.26
USB-230	0.27
USB043	0.29
USB-128	0.31
USB-741	0.34
USB-596	0.37
USB-748	0.37
HN075	0.43
USB-538	0.44
USB-129	0.47
USB-642	0.48
USB-393	0.51
USB-084	0.52
USB-494	0.53
SRR1533230	0.54
USB-228	0.55
USB-369	0.56
HN089	0.58
USB-336	0.6
HN090	0.61
USB-037	0.63
USB-628	0.63
USB-474	0.64
USB-107	0.65
HN091	0.66
USB-564	0.7
USB-115	0.71
USB-489	0.71
USB-090	0.74
USB-264	0.74
HN035	0.77
SRR1533216	0.77
USB-303	0.77
USB-496	0.77
USB-464	0.78
HN074	0.79
HN098	0.79
USB-655	0.8
USB-530	0.82
HN041	0.86
USB-751	0.87
USB-295	0.88
USB-629	0.88
USB-706	0.88
USB031	0.89
USB-343	0.9
USB-654	0.92
HN048	0.95
USB-101	0.96
USB-279	0.98
USB-758	0.98
USB-106	0.99
HN042	1
HNSM-14	1
USB-314	1.01
USB-361	1.02
USB-146	1.03
USB-334	1.03
USB-281	1.04
USB-354	1.04
SRR1533286	1.05
USB004	1.05
SRR1533220	1.06
USB-466	1.06
USB-602	1.09
SRR1533245	1.1
USB-417	1.1
SRR1533288	1.11
USB-663	1.12
USB-676	1.12
USB-263	1.13
HN096	1.14
USB-182	1.15
USB-241	1.15
USB-531	1.15
SRR1533341	1.16
USB-226	1.16
USB-634	1.16
SRR1533312	1.18
HN036	1.19
HNY-42	1.2
USB-678	1.2
HNSM-06	1.21
SRR1533283	1.21
USB-143	1.21
USB-733	1.22
HN078	1.23
USB-752	1.23
HNEX-06	1.24
HN058	1.25
HN076	1.25
USB-522	1.25
USB-673	1.25
USB-674	1.26
HN051	1.27
USB-238	1.28
USB-298	1.28
USB-387	1.28
USB-729	1.29
AB-02	1.3
USB-232	1.3
USB-799	1.3
HN032	1.32
USB-378	1.32
USB-630	1.32
USB-680	1.32
SRR1533301	1.33
USB-677	1.33
HN043	1.34
HN085	1.34
USB-306	1.34
USB-568	1.35
USB-666	1.35
USB-786	1.35
USB-388	1.36
USB-675	1.38
HN025	1.39
USB-159	1.39
HNY-10	1.41
USB-016	1.41
USB-357	1.41
USB-472	1.41
USB-341	1.42
USB-488	1.42
HNSM-13	1.43
USB-113	1.43
USB-533	1.43
USB-656	1.43
USB-112	1.44
USB-204	1.44
HN016B	1.45
USB-446	1.45
USB-485	1.45
USB-500	1.45
HN105	1.46
HN077	1.47
SRR1533315	1.47
USB-502	1.47
USB-633	1.48
USB-761	1.48
HN011	1.49
USB-162	1.49
USB-717	1.49
HNSM-03	1.5
USB-301	1.5
USB-104	1.51
USB-110	1.51
HNSM-05	1.52
SRR1533365	1.52
SRR1533441	1.52
USB-701	1.52
HN022	1.53
USB-116	1.53
USB-302	1.53
USB-672	1.53
AB-01	1.54
HN055	1.54
HN104	1.54
USB-029	1.54
USB-294	1.54
USB-338	1.54
USB-551	1.54
USB-788	1.54
USB-801	1.54
SRR1533266	1.55
USB-117	1.55
USB-285	1.55
USB-323	1.55
SRR1533284	1.56
SRR1533319	1.56
USB-156	1.56
USB-286	1.56
USB-524	1.56
HN097	1.57
USB-445	1.57
USB-276	1.58
USB-732	1.58
USB-490	1.6
USB-541	1.6
USB-546	1.6
HNY-53	1.61
SRR1533231	1.61
SRR1533442	1.61
USB-670	1.61
USB-730	1.61
HNY-52	1.63
SRR1533271	1.63
USB-081	1.63
USB-218	1.63
USB-505	1.63
USB-632	1.63
HN007	1.64
USB-342	1.64
USB-089	1.65
USB-098	1.65
HN094	1.66
USB-307	1.66
USB-353	1.66
USB-486	1.66
USB-614	1.67
HNSM-16	1.68
SRR1533235	1.68
USB-209	1.68
HN017B	1.69
HNY-09	1.69
USB-319	1.69
USB-612	1.69
USB-312	1.7
HN044	1.71
USB-520	1.71
USB-072	1.72
USB-740	1.72
USB-160	1.73
HN093	1.74
USB-151	1.74
USB-792	1.74
USB028	1.75
USB-077	1.75
USB-206	1.75
HN083	1.76
USB046	1.76
USB-787	1.76
USB-039	1.77
USB-277	1.77
HNSM-04	1.78
SRR1533324	1.78
USB-386	1.78
USB-497	1.78
USB-769	1.78
USB-782	1.78
USB-324	1.79
USB-448	1.79
USB-734	1.79
SRR1533269	1.8
USB009	1.8
USB-278	1.8
USB-322	1.8
USB-459	1.8
SRR1533278	1.81
USB-167	1.81
USB-384	1.81
USB-444	1.81
HN084	1.82
USB-304	1.82
SRR1533236	1.83
USB-713	1.83
HN023	1.84
HN009	1.85
HNSM-17	1.85
USB-316	1.85
USB-372	1.85
USB-587	1.85
USB-664	1.85
USB-712	1.85
HN012	1.86
HNSM-07	1.86
USB-074	1.86
USB-370	1.86
USB-719	1.86
HN018	1.87
USB-155	1.87
USB-326	1.87
USB-604	1.87
HN037	1.88
SRR1533243	1.88
USB003	1.88
USB-574	1.88
HNSM-02	1.89
USB-040	1.89
HN079	1.9
SRR1533239	1.9
USB-381	1.9
USB-595	1.9
SRR1533295	1.91
USB-309	1.91
USB-454	1.91
USB-768	1.91
SRR1533328	1.92
USB-385	1.92
USB-715	1.92
USB-784	1.92
USB-153	1.93
USB-367	1.93
USB-690	1.93
USB-310	1.94
USB-682	1.94
SRR1533302	1.95
USB-700	1.95
HN031	1.96
HN086	1.96
USB045	1.96
USB-325	1.97
HNSM-15	1.98
USB-383	1.98
USB-484	1.99
USB-577	1.99
USB-771	1.99
USB-256	2
USB-371	2
USB-438	2
USB-798	2
HNSM-20	2.01
SRR1533303	2.01
USB-093	2.01
USB-447	2.01
USB-585	2.01
HN060	2.02
USB-428	2.02
USB-441	2.02
USB-049	2.03
USB-745	2.03
HNSM-10	2.04
HNSM-12	2.04
USB-012	2.04
USB-449	2.04
USB-699	2.04
HN095	2.05
HN108	2.05
USB017	2.05
USB-207	2.05
USB-550	2.05
HN006	2.06
USB-103	2.06
USB-366	2.06
USB-418	2.06
USB-640	2.06
USB-332	2.07
HNSM-11	2.08
USB-157	2.08
USB-317	2.08
USB-669	2.08
USB-144	2.09
USB-221	2.09
USB-492	2.09
HN021	2.1
USB-007	2.11
USB-291	2.11
USB-411	2.11
USB-506	2.11
USB-697	2.11
USB-710	2.11
SRR1533290	2.12
USB-108	2.12
HNY-55	2.13
USB-062	2.13
USB-392	2.13
USB-443	2.13
USB010	2.14
USB-203	2.14
USB-374	2.14
USB-453	2.14
USB-687	2.14
HN005	2.15
HN106	2.15
USB-469	2.15
USB-703	2.15
USB-783	2.15
SRR1533314	2.16
USB-109	2.16
USB-480	2.16
USB-560	2.16
USB-691	2.16
HNY-07	2.17
USB-023	2.17
USB-044	2.17
USB-123	2.17
USB-169	2.17
USB-234	2.17
USB-335	2.17
USB-549	2.17
USB-594	2.17
USB-718	2.17
USB-793	2.17
USB-802	2.17
HN049	2.18
HNSM-18	2.18
USB-376	2.18
USB-477	2.18
USB-776	2.18
USB-777	2.18
HN067	2.19
USB-064	2.19
USB-075	2.19
USB-436	2.19
USB-327	2.2
USB-382	2.2
USB-688	2.2
USB-795	2.2
HN072	2.21
USB-024	2.21
USB-050	2.21
USB-175	2.21
USB-245	2.21
USB-261	2.21
USB-269	2.21
USB-440	2.21
USB-498	2.21
USB-540	2.21
USB-684	2.21
USB-737	2.21
SRR1533333	2.22
USB-100	2.22
HN082	2.23
USB-192	2.23
USB-293	2.23
USB-416	2.23
USB-512	2.23
USB-562	2.23
USB-429	2.24
USB-481	2.24
USB-510	2.24
USB-066	2.25
USB-213	2.25
USB005	2.26
USB-803	2.26
HNSM-19	2.27
USB-154	2.27
USB-313	2.27
HN033	2.28
USB-148	2.28
USB-708	2.28
SRR1533378	2.29
USB-235	2.29
USB-345	2.29
USB-076	2.3
HN047	2.31
USB-091	2.31
USB-375	2.31
USB-462	2.31
USB-637	2.31
HN080	2.32
USB-036	2.32
USB-333	2.32
SRR1533336	2.33
USB-070	2.33
USB-255	2.33
USB-578	2.33
USB-772	2.33
USB-794	2.33
USB-094	2.34
USB025	2.35
USB-705	2.35
SRR1533326	2.36
USB-071	2.36
USB-078	2.36
USB-185	2.36
USB-591	2.37
HN081	2.38
SRR1533369	2.38
TC21	2.38
USB-763	2.38
HN062	2.39
USB-061	2.39
USB-170	2.4
USB-526	2.4
USB-561	2.4
USB-778	2.4
HN038	2.41
HNSM-09	2.41
HNSM-23	2.41
SRR1533285	2.41
USB-196	2.41
USB-470	2.41
USB-694	2.41
USB-348	2.42
USB-168	2.43
USB-347	2.43
USB-315	2.44
SRR1533257	2.45
USB-147	2.45
USB-368	2.45
USB-415	2.45
USB-609	2.45
USB-308	2.46
USB-373	2.46
USB-527	2.46
USB-067	2.47
USB-127	2.47
USB-150	2.47
USB-422	2.47
USB-586	2.48
USB-222	2.49
USB-311	2.49
USB-240	2.5
USB-463	2.5
USB-779	2.5
HN008	2.51
USB026	2.51
USB-593	2.51
USB-773	2.51
USB-183	2.52
USB-201	2.52
USB-442	2.52
USB-537	2.52
USB-041	2.53
USB-126	2.53
USB-460	2.53
HNSM-08	2.54
SRR1533310	2.54
USB-069	2.54
USB-193	2.54
USB-781	2.54
USB-124	2.55
USB-223	2.55
USB-414	2.55
USB-427	2.56
USB-430	2.56
USB-186	2.57
USB-479	2.57
USB-555	2.57
USB-696	2.57
HN026	2.58
USB-433	2.58
USB-553	2.58
HN061	2.59
SRR1533356	2.59
USB-097	2.59
USB-242	2.59
HN069	2.6
USB-351	2.6
USB-435	2.6
USB-455	2.6
USB-467	2.6
USB-599	2.6
USB-320	2.61
USB-597	2.61
USB-073	2.62
USB-119	2.62
USB-134	2.62
USB011	2.63
USB-086	2.63
USB-583	2.63
USB-707	2.63
USB-166	2.64
USB-426	2.64
USB-465	2.64
SRR1533229	2.65
USB020	2.65
USB-475	2.65
USB-559	2.65
HN068	2.66
HNEX-04	2.66
SRR1533415	2.66
USB-096	2.66
USB-284	2.66
USB-432	2.66
USB-339	2.67
USB-780	2.67
USB-065	2.68
USB-187	2.68
USB-473	2.68
USB-545	2.68
USB-135	2.69
USB-431	2.69
HNEX-10	2.7
SRR1533272	2.7
USB-088	2.7
USB-152	2.7
USB-425	2.7
USB-689	2.71
USB-068	2.72
USB-132	2.72
USB-184	2.73
USB-563	2.73
USB-650	2.73
HNY-51	2.74
USB-102	2.74
USB-208	2.74
USB-217	2.74
USB-421	2.74
USB-504	2.74
HN071	2.75
USB-079	2.75
USB-260	2.75
HNEX-08	2.76
HNEX-09	2.76
USB-412	2.76
HN057	2.78
USB-085	2.78
USB-149	2.78
USB-174	2.78
HN010	2.8
SRR1533292	2.8
USB-331	2.8
USB-450	2.8
USB-679	2.8
HNEX-14	2.81
HNSM-21	2.81
USB-424	2.81
USB-002	2.82
USB-063	2.82
USB-087	2.82
USB-608	2.82
USB018	2.83
USB-567	2.83
USB-581	2.83
USB-178	2.84
USB-607	2.84
SRR1533438	2.85
USB-236	2.85
USB-419	2.85
USB-451	2.85
SRR1533221	2.86
USB-141	2.86
USB-210	2.86
HNY-08	2.87
USB-283	2.87
USB-346	2.87
SRR1533297	2.88
USB-038	2.88
USB-139	2.88
USB-377	2.88
USB-423	2.88
USB-762	2.88
SRR1533248	2.89
USB-131	2.89
USB-140	2.89
USB-259	2.89
HNEX-19	2.9
USB-058	2.9
USB042	2.91
USB-220	2.91
USB-437	2.91
USB-452	2.91
HNEX-28	2.92
HNEX-38	2.92
USB-318	2.92
USB-548	2.92
HNEX-02	2.93
SRR1533332	2.93
USB-191	2.93
USB-735	2.93
HN107	2.94
USB-048	2.94
USB-620	2.94
USB-528	2.96
USB-765	2.96
USB-125	2.97
USB-180	2.97
USB-476	2.97
USB-215	3
USB-328	3.01
HNEX-16	3.02
SRR1533451	3.02
USB-456	3.04
USB-518	3.04
USB-525	3.04
USB-566	3.04
USB-580	3.04
USB-060	3.05
USB-188	3.05
HNSM-24	3.06
HN059	3.07
USB-554	3.07
USB-122	3.08
USB-579	3.08
USB-589	3.08
HNEX-11	3.09
USB-478	3.09
USB-575	3.09
HNEX-21	3.1
USB-233	3.1
USB-268	3.1
USB-521	3.1
USB-558	3.1
HN034	3.11
USB-059	3.11
USB-133	3.11
USB-171	3.11
USB-198	3.11
USB-468	3.11
USB-216	3.12
USB-258	3.12
USB-529	3.12
USB-092	3.13
USB-195	3.15
USB-229	3.15
SRR1533387	3.16
USB-145	3.16
USB-161	3.18
USB-177	3.18
USB-576	3.18
USB-173	3.2
HNEX-13	3.21
USB-584	3.21
HNEX-37	3.22
USB-363	3.23
HNEX-29	3.24
HNY-45	3.24
HNEX-01	3.25
USB-573	3.25
USB-330	3.26
USB-658	3.27
USB-534	3.28
HNEX-17	3.29
USB-270	3.29
HNEX-33	3.32
USB-246	3.32
USB-544	3.32
USB-592	3.32
For	3.34
HNEX-24	3.35
USB-617	3.35
USB-272	3.36
USB-565	3.36
USB013	3.37
USB-619	3.37
USB-571	3.38
USB-711	3.38
HN056	3.41
USB033	3.41
USB-635	3.41
HNEX-26	3.42
USB-189	3.44
USB-556	3.44
HNEX-18	3.46
HNEX-27	3.46
USB-611	3.48
USB-199	3.5
HNEX-20	3.51
USB032	3.52
USB-179	3.53
HN001	3.54
HN054	3.54
USB-265	3.55
USB-616	3.55
HNEX-23	3.57
SRR1533338	3.59
USB-202	3.59
SRR1533351	3.6
HNEX-25	3.63
USB-570	3.63
USB-590	3.7
SRR1533423	3.71
HNEX-40	3.77
HNEX-39	3.81
USB-582	3.81
SRR1533371	3.83
HNEX-35	3.87
USB-271	3.87
USB-569	3.93
HNEX-34	3.97
HNEX-30	3.98
HN088	4
HNSM-25	4
USB-358	4.01
HNEX-32	4.04
HN064	4.05
HN070	4.06
HNY-26	4.12
SRR1533362	4.12
HN030	4.16
USB-212	4.16
SRR1533384	4.18
USB-615	4.2
HNEX-36	4.21
HNSM-26	4.23
HN073	4.27
USB-266	4.34
USB-613	4.34
HN028	4.38
HN092	4.48
