"","QTN=0.3","QTN=0.2","QTN=0.1","QTN=0.05","QTN=0.02","QTN=0.01","QTN=0"
"0",0,0,0,0,0,0,0
"0.01",0,0.008,0.008,0.008,0.064,0.4,0.536
"0.05",0.04,0.056,0.072,0.176,0.376,0.584,0.656
"0.1",0.088,0.128,0.152,0.288,0.472,0.624,0.696
"0.2",0.192,0.224,0.272,0.416,0.592,0.712,0.808
"0.3",0.288,0.336,0.376,0.536,0.672,0.784,0.848
"0.4",0.392,0.432,0.496,0.648,0.72,0.848,0.904
"0.5",0.488,0.544,0.624,0.752,0.824,0.904,0.944
"0.6",0.592,0.688,0.736,0.808,0.896,0.952,1
"0.7",0.688,0.752,0.808,0.864,0.936,1,1
"0.8",0.792,0.864,0.904,0.952,0.992,1,1
"0.9",0.888,0.96,0.984,1,1,1,1
"1",0.992,1,1,1,1,1,1
