SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
GlymaLee.02G228600.1.p,2,49198872,5.31622240136101e-07,0.00130039011703509,769,0.42203196051857,0.441333017945888,0.000258368408706145,-1.6924714266919
UWASoyPan04354,22,277,0.00750327750230774,0.104031209362809,769,0.42203196051857,0.427454425878563,1,0.146850608823918
UWASoyPan04967,22,265,0.0108731498219461,0.0624187256176853,769,0.42203196051857,0.426949803627475,1,0.156681284404181
UWASoyPan00022,22,958,0.0131473769985999,0.0364109232769831,769,0.42203196051857,0.426693431692223,1,0.188230785119701
GlymaLee.18G076200.1.p,18,8414743,0.0152284171773631,0.00390117035110538,769,0.42203196051857,0.426496090231863,1,-0.463227362877205
UWASoyPan00316,22,405,0.019003764309445,0.123537061118336,769,0.42203196051857,0.426200435603494,1,-0.124115132597803
UWASoyPan00772,22,326,0.0372174923770822,0.197659297789337,769,0.42203196051857,0.425318395910408,1,0.106505642605186
GlymaLee.07G060000.1.p,7,5946726,0.047555557960493,0.023407022106632,769,0.42203196051857,0.425003509636022,1,0.168582914344825
GlymaLee.15G199700.1.p,15,47014727,0.0760399087189484,0.00130039011703509,769,0.42203196051857,0.424413343140153,1,0.572358167161724
UWASoyPan05095,22,299,0.0867591718798747,0.00390117035110533,769,0.42203196051857,0.424251068960321,1,-0.322180407842564
GlymaLee.15G199300.1.p,15,46823772,0.0950675534918998,0.107932379713914,769,0.42203196051857,0.424139588905581,1,0.0934469083411251
UWASoyPan00276,22,126,0.104529106484746,0.256176853055917,769,0.42203196051857,0.42402490642833,1,-0.0776564360904595
GlymaLee.16G111300.1.p,16,30996392,0.109766312023105,0.0676202860858257,769,0.42203196051857,0.423966221846096,1,0.107392497203122
GlymaLee.01G030900.1.p,1,3567950,0.112858808931095,0.492847854356307,769,0.42203196051857,0.423932999206522,1,0.0723839774899115
UWASoyPan03194,22,548,0.124084361500675,0.0988296488946684,769,0.42203196051857,0.423820344884852,1,-0.0854826421669492
GlymaLee.14G022000.1.p,14,1789365,0.136681390816142,0.223667100130039,769,0.42203196051857,0.423706702213104,1,-0.0747123407004437
UWASoyPan00251,22,452,0.14887577944579,0.206762028608583,769,0.42203196051857,0.423607367384589,1,0.074208377310315
GlymaLee.06G229700.1.p,6,46699702,0.155293538042412,0.00390117035110538,769,0.42203196051857,0.423558716247024,1,0.269492389252264
UWASoyPan02496,22,266,0.162903227611304,0.136540962288687,769,0.42203196051857,0.423503910215588,1,-0.0808917174283086
GlymaLee.16G111100.1.p,16,30967558,0.180485306842429,0.0494148244473342,769,0.42203196051857,0.423387773151196,1,0.101994756611006
GlymaLee.06G228600.1.p,6,46476226,0.181836665854385,0.218465539661899,769,0.42203196051857,0.423379391960573,1,0.0689266374630488
UWASoyPan01217,22,234,0.183574674639832,0.137841352405722,769,0.42203196051857,0.423368718366025,1,0.0736834451037929
UWASoyPan00975,22,499,0.205615564212502,0.184655396618986,769,0.42203196051857,0.423242795634973,1,-0.0632402825597151
UWASoyPan00005,22,296,0.217287284700944,0.136540962288687,769,0.42203196051857,0.423182395898395,1,-0.0762576290129213
GlymaLee.18G076500.1.p,18,8487373,0.217677004866007,0.00910273081924573,769,0.42203196051857,0.423180446151729,1,-0.155665926592334
UWASoyPan04757,22,270,0.223789489167332,0.0104031209362809,769,0.42203196051857,0.423150401115451,1,-0.145549000531227
UWASoyPan01530,22,288,0.255904655583873,0.427828348504551,769,0.42203196051857,0.423007347705703,1,-0.0522840494741565
GlymaLee.07G059800.1.p,7,5914021,0.26177799269232,0.00910273081924573,769,0.42203196051857,0.422983564141361,1,0.146754411632116
GlymaLee.16G075200.1.p,16,10446071,0.269953565047991,0.00390117035110538,769,0.42203196051857,0.422951539580274,1,-0.209019864154243
GlymaLee.01G030800.1.p,1,3542206,0.27799645270751,0.00130039011703509,769,0.42203196051857,0.422921197402619,1,0.342306689958832
GlymaLee.13G049500.1.p,13,17537148,0.303081325259586,0.0156046814044213,769,0.42203196051857,0.422833281446399,1,0.101621393101539
GlymaLee.16G175200.1.p,16,38454349,0.305444841426664,0.0325097529258778,769,0.42203196051857,0.42282548131172,1,0.0780709377820301
UWASoyPan03340,22,887,0.323420457365249,0.237971391417425,769,0.42203196051857,0.422768623773379,1,-0.0484274902520361
UWASoyPan00201,22,232,0.333603540571384,0.0325097529258778,769,0.42203196051857,0.422738230041244,1,-0.0744506653843002
UWASoyPan01320,22,297,0.337499792666449,0.287386215864759,769,0.42203196051857,0.422726926259269,1,-0.0474566475791969
GlymaLee.16G175600.1.p,16,38496432,0.339639352236269,0.0650195058517555,769,0.42203196051857,0.422720793197141,1,-0.0589955803210707
GlymaLee.03G045700.1.p,3,7283388,0.347034585601929,0.345903771131339,769,0.42203196051857,0.422699989627199,1,0.0544059426910195
UWASoyPan02799,22,488,0.362349651612467,0.270481144343303,769,0.42203196051857,0.422658766471133,1,0.0442705518745115
GlymaLee.16G074200.1.p,16,10068645,0.371300085312373,0.00130039011703509,769,0.42203196051857,0.422635770892037,1,-0.286388166955135
