SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
GlymaLee.02G228600.1.p,2,49198872,2.82519397744923e-07,0.00130039011703509,769,NA,NA,0.000137304427304033,NA
UWASoyPan00022,22,958,0.00800895899294879,0.0364109232769831,769,NA,NA,0.887766634686987,NA
UWASoyPan04354,22,277,0.0118748312317905,0.104031209362809,769,NA,NA,0.887766634686987,NA
UWASoyPan00316,22,405,0.012748733111542,0.123537061118336,769,NA,NA,0.887766634686987,NA
UWASoyPan04967,22,265,0.0368673724929432,0.0624187256176853,769,NA,NA,0.887766634686987,NA
UWASoyPan00772,22,326,0.0376954731364923,0.197659297789337,769,NA,NA,0.887766634686987,NA
GlymaLee.07G060000.1.p,7,5946726,0.0533441590396053,0.023407022106632,769,NA,NA,0.887766634686987,NA
UWASoyPan02496,22,266,0.0827172097702883,0.136540962288687,769,NA,NA,0.887766634686987,NA
GlymaLee.14G022000.1.p,14,1789365,0.0840226938818582,0.223667100130039,769,NA,NA,0.887766634686987,NA
GlymaLee.16G111300.1.p,16,30996392,0.0906957683609803,0.0676202860858257,769,NA,NA,0.887766634686987,NA
UWASoyPan05095,22,299,0.0907831175450793,0.00390117035110533,769,NA,NA,0.887766634686987,NA
GlymaLee.15G199700.1.p,15,47014727,0.0918271792254295,0.00130039011703509,769,NA,NA,0.887766634686987,NA
GlymaLee.15G199300.1.p,15,46823772,0.105260984448335,0.107932379713914,769,NA,NA,0.887766634686987,NA
UWASoyPan00276,22,126,0.108463891643105,0.256176853055917,769,NA,NA,0.887766634686987,NA
UWASoyPan01217,22,234,0.115555320290908,0.137841352405722,769,NA,NA,0.887766634686987,NA
GlymaLee.01G030900.1.p,1,3567950,0.125422616436425,0.492847854356307,769,NA,NA,0.887766634686987,NA
GlymaLee.06G228600.1.p,6,46476226,0.149843485009712,0.218465539661899,769,NA,NA,0.887766634686987,NA
UWASoyPan00251,22,452,0.152802756617048,0.206762028608583,769,NA,NA,0.887766634686987,NA
UWASoyPan03194,22,548,0.177542372331912,0.0988296488946684,769,NA,NA,0.887766634686987,NA
GlymaLee.16G111100.1.p,16,30967558,0.179608119639356,0.0494148244473342,769,NA,NA,0.887766634686987,NA
GlymaLee.06G229700.1.p,6,46699702,0.209002160843032,0.00390117035110538,769,NA,NA,0.887766634686987,NA
UWASoyPan00005,22,296,0.213473790512953,0.136540962288687,769,NA,NA,0.887766634686987,NA
UWASoyPan01530,22,288,0.224417508620687,0.427828348504551,769,NA,NA,0.887766634686987,NA
GlymaLee.16G075200.1.p,16,10446071,0.23793196768271,0.00390117035110538,769,NA,NA,0.887766634686987,NA
UWASoyPan00975,22,499,0.245633439331246,0.184655396618986,769,NA,NA,0.887766634686987,NA
GlymaLee.13G049500.1.p,13,17537148,0.256152217719218,0.0156046814044213,769,NA,NA,0.887766634686987,NA
UWASoyPan04757,22,270,0.264712571262848,0.0104031209362809,769,NA,NA,0.887766634686987,NA
GlymaLee.07G059800.1.p,7,5914021,0.275111360968253,0.00910273081924573,769,NA,NA,0.887766634686987,NA
GlymaLee.01G030800.1.p,1,3542206,0.279329604523275,0.00130039011703509,769,NA,NA,0.887766634686987,NA
GlymaLee.14G022200.1.p,14,1797051,0.290632333397734,0.0169050715214565,769,NA,NA,0.887766634686987,NA
UWASoyPan02799,22,488,0.305455189826266,0.270481144343303,769,NA,NA,0.887766634686987,NA
UWASoyPan01320,22,297,0.333941299137077,0.287386215864759,769,NA,NA,0.887766634686987,NA
GlymaLee.06G230500.1.p,6,46786660,0.33702361231823,0.40962288686606,769,NA,NA,0.887766634686987,NA
