SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
GlymaLee.02G228600.1.p,2,49198872,1.19180067762849e-08,0.00130039011703509,769,0.379550343075079,0.406460156205939,5.79215129327444e-06,-1.93549568196499
UWASoyPan04354,22,277,1.50253649774711e-05,0.104031209362809,769,0.379550343075079,0.394922369899983,0.00365116368952547,0.170642956985075
UWASoyPan00772,22,326,3.15465909954996e-05,0.197659297789337,769,0.379550343075079,0.393750583379061,0.00511054774127093,0.129115174020941
UWASoyPan00316,22,405,4.45761496574038e-05,0.123537061118336,769,0.379550343075079,0.393206580515783,0.00541600218337456,-0.14986707950909
GlymaLee.16G111300.1.p,16,30996392,0.00012093346347095,0.0676202860858257,769,0.379550343075079,0.391644714942162,0.0117547326493764,0.183083794469027
UWASoyPan00022,22,958,0.000378340014542455,0.0364109232769831,769,0.379550343075079,0.389877320990763,0.0267416087022052,0.228502821985229
GlymaLee.01G030900.1.p,1,3567950,0.000385167203529705,0.492847854356307,769,0.379550343075079,0.389849774120068,0.0267416087022052,0.0861665671145389
UWASoyPan00251,22,452,0.00127489891291629,0.206762028608583,769,0.379550343075079,0.388019651337626,0.0774501089596649,0.103188707831521
UWASoyPan00975,22,499,0.00156110794411723,0.184655396618986,769,0.379550343075079,0.387712893734301,0.0842998289823303,-0.098304796398804
GlymaLee.18G076200.1.p,18,8414743,0.00198616672182105,0.00390117035110538,769,0.379550343075079,0.387349389461985,0.0965277026805032,-0.595444719381021
GlymaLee.14G022000.1.p,14,1789365,0.00266247648667231,0.223667100130039,769,0.379550343075079,0.38690895476127,0.117219561706363,-0.0946442227178634
GlymaLee.16G111100.1.p,16,30967558,0.00289431016558922,0.0494148244473342,769,0.379550343075079,0.386783882557859,0.117219561706363,0.166630740345965
UWASoyPan01320,22,297,0.00326284638848501,0.287386215864759,769,0.379550343075079,0.386604667101442,0.121980257292593,-0.0889754325559551
UWASoyPan01530,22,288,0.00468221326361353,0.427828348504551,769,0.379550343075079,0.386067093562438,0.162539689008298,-0.071009526367424
UWASoyPan02496,22,266,0.00562949470905827,0.136540962288687,769,0.379550343075079,0.385794385864114,0.172592352608646,-0.0964545567479078
UWASoyPan04967,22,265,0.00572727448504336,0.0624187256176853,769,0.379550343075079,0.385768954247864,0.172592352608646,0.135214597013382
GlymaLee.07G060000.1.p,7,5946726,0.00622457348143337,0.023407022106632,769,0.379550343075079,0.385646122234519,0.172592352608646,0.216338027344769
UWASoyPan00276,22,126,0.00639230935587577,0.256176853055917,769,0.379550343075079,0.38560694504366,0.172592352608646,-0.0750845584678499
GlymaLee.15G199300.1.p,15,46823772,0.00919393981240529,0.107932379713914,769,0.379550343075079,0.385073971513738,0.235171302569946,0.100934737392707
GlymaLee.16G111500.1.p,16,31012672,0.0129880706954726,0.0390117035110533,769,0.379550343075079,0.384572059359665,0.30236638063297,0.153182827804407
UWASoyPan01253,22,473,0.0130652139779678,0.223667100130039,769,0.379550343075079,0.38456349971861,0.30236638063297,0.0728858798503476
UWASoyPan03194,22,548,0.0188492039942204,0.0988296488946684,769,0.379550343075079,0.384036868105643,0.398962583952699,-0.09620095411239
UWASoyPan00427,22,933,0.0188809453310948,0.156046814044213,769,0.379550343075079,0.384034465475315,0.398962583952699,-0.0777485858792888
UWASoyPan00155,22,591,0.0253625572447445,0.269180754226268,769,0.379550343075079,0.383615354675277,0.501989567860855,-0.0618631113580159
