SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
GlymaLee.06G232600.1.p,6,47173084,0.0176958243741751,0.08,75,0.0161275679467936,0.0944383424074077,1,-0.748447104979228
UWASoyPan00276,22,126,0.0355953532402475,0.373333333333333,75,0.0161275679467936,0.0770851090933019,1,-0.409120824332351
GlymaLee.03G045400.1.p,3,7010015,0.0437221646262775,0.0666666666666667,75,0.0161275679467936,0.0721301032362029,1,0.678060457381687
GlymaLee.16G175200.1.p,16,38454349,0.0467561406318757,0.04,75,0.0161275679467936,0.0705297895424023,1,-0.829741824999076
GlymaLee.18G076300.1.p,18,8428804,0.0575866424974206,0.04,75,0.0161275679467936,0.0656139083740819,1,-0.825554285571016
UWASoyPan03233,22,224,0.0754740057604585,0.04,75,0.0161275679467936,0.0593613730070824,1,-0.761827222906617
GlymaLee.03G045700.1.p,3,7283388,0.0767254972216005,0.24,75,0.0161275679467936,0.058986276624778,1,-0.418120770735704
GlymaLee.18G075700.1.p,18,8318081,0.0814453812431215,0.0933333333333334,75,0.0161275679467936,0.0576297726504779,1,-0.519208342472588
GlymaLee.03G045500.1.p,3,7060057,0.0818956308820215,0.293333333333333,75,0.0161275679467936,0.0575049114218634,1,-0.358711609586637
UWASoyPan00202,22,273,0.101602754525114,0.346666666666667,75,0.0161275679467936,0.0526779610620436,1,-0.365046044373951
GlymaLee.15G153200.1.p,15,15147600,0.117229528073911,0.0133333333333333,75,0.0161275679467936,0.0495400858349081,1,1.15033477572675
UWASoyPan03230,22,272,0.117229528073918,0.0133333333333333,75,0.0161275679467936,0.0495400858349074,1,-1.15033477572674
UWASoyPan04757,22,270,0.126539042023518,0.0266666666666667,75,0.0161275679467936,0.0478868058542635,1,0.765835679222413
UWASoyPan01217,22,234,0.145690271251329,0.12,75,0.0161275679467936,0.0448823630390027,1,-0.409403117719435
GlymaLee.15G199200.1.p,15,46802755,0.145742402811952,0.16,75,0.0161275679467936,0.04487481304314,1,-0.363055294402182
UWASoyPan00953,22,399,0.152217372260325,0.333333333333333,75,0.0161275679467936,0.043960478091652,1,0.275615076874784
GlymaLee.20G036300.1.p,20,10992199,0.162304879147497,0.0266666666666666,75,0.0161275679467936,0.0426219442597169,1,0.731789021075173
GlymaLee.20G036500.1.p,20,11048819,0.162304879147497,0.0266666666666666,75,0.0161275679467936,0.0426219442597169,1,0.731789021075173
GlymaLee.18G076600.1.p,18,8530607,0.16406803504653,0.0266666666666666,75,0.0161275679467936,0.042397901624142,1,-0.718641273263842
GlymaLee.03G045900.1.p,3,7388482,0.166564757706637,0.253333333333333,75,0.0161275679467936,0.0420853924328584,1,-0.319315887982044
UWASoyPan00201,22,232,0.169592339008182,0.0266666666666667,75,0.0161275679467936,0.0417136816056602,1,-0.718336772880965
UWASoyPan00316,22,405,0.177207681563249,0.0666666666666667,75,0.0161275679467936,0.0408120167214702,1,0.466457688130969
UWASoyPan01330,22,494,0.18857916031046,0.293333333333333,75,0.0161275679467936,0.0395471303455416,1,-0.308380223698173
GlymaLee.20G160000.1.p,20,45484513,0.200065212026829,0.0133333333333333,75,0.0161275679467936,0.0383580564938605,1,-0.911440453067925
UWASoyPan01973,22,270,0.208402756130234,0.173333333333333,75,0.0161275679467936,0.0375448642363355,1,0.322998882916344
GlymaLee.06G228600.1.p,6,46476226,0.217391058455501,0.16,75,0.0161275679467936,0.0367109264636327,1,-0.314326363013635
GlymaLee.03G042100.1.p,3,6157517,0.22130068860518,0.333333333333333,75,0.0161275679467936,0.0363611104178772,1,-0.237380623618878
GlymaLee.14G022000.1.p,14,1789365,0.225229099597184,0.0933333333333334,75,0.0161275679467936,0.0360170996722001,1,-0.361654869375204
GlymaLee.06G230600.1.p,6,46799742,0.238843841633585,0.293333333333333,75,0.0161275679467936,0.0348793259019716,1,0.256587711841835
UWASoyPan00022,22,958,0.243345101380666,0.0133333333333333,75,0.0161275679467936,0.0345205975037736,1,0.815009207346391
UWASoyPan03194,22,548,0.257245644490847,0.133333333333333,75,0.0161275679467936,0.033462795597525,1,-0.291897533893943
GlymaLee.10G034600.1.p,10,3320931,0.260462370847888,0.04,75,0.0161275679467936,0.0332281620091425,1,0.474474078550202
GlymaLee.06G229500.1.p,6,46668585,0.264912525211759,0.0133333333333333,75,0.0161275679467936,0.0329095020752587,1,-0.780643259511052
GlymaLee.06G267900.1.p,6,51554381,0.28386691055599,0.04,75,0.0161275679467936,0.0316245293583053,1,-0.44418102553751
GlymaLee.06G228900.1.p,6,46534448,0.284541862528915,0.133333333333333,75,0.0161275679467936,0.0315808068359372,1,-0.28549412315817
GlymaLee.03G042000.1.p,3,6150979,0.284992322893325,0.106666666666667,75,0.0161275679467936,0.031551700733005,1,-0.303779576253699
GlymaLee.16G130800.1.p,16,33636259,0.291197359298452,0.12,75,0.0161275679467936,0.0311567049850412,1,-0.274957431991034
GlymaLee.03G045600.1.p,3,7085900,0.296159203568084,0.0933333333333334,75,0.0161275679467936,0.0308486025418503,1,-0.315883579687721
