SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
GlymaLee.02G228600.1.p,2,49198872,3.84594650329492e-06,0.00130039011703509,769,NA,NA,0.00186913000060133,-1.71851221962527
UWASoyPan04354,22,277,3.73141566345598e-05,0.104031209362809,769,NA,NA,0.00906734006219803,0.150535692861339
UWASoyPan00316,22,405,8.12941358926067e-05,0.123537061118336,769,NA,NA,0.0131696500146023,-0.136112581371361
GlymaLee.01G030900.1.p,1,3567950,0.000189720017266858,0.492847854356307,769,NA,NA,0.0230509820979233,0.0837740857579981
UWASoyPan00772,22,326,0.000272374199056756,0.197659297789337,769,NA,NA,0.0264747721483167,0.107376961809725
GlymaLee.14G022000.1.p,14,1789365,0.000421525845035372,0.223667100130039,769,NA,NA,0.0341435934478652,-0.0953601670239834
UWASoyPan00022,22,958,0.00121443462926401,0.0364109232769831,769,NA,NA,0.084316461403187,0.196404921779076
GlymaLee.16G111300.1.p,16,30996392,0.00162769492193041,0.0676202860858257,769,NA,NA,0.0988824665072727,0.13271834353143
UWASoyPan02496,22,266,0.00324284793208629,0.136540962288687,769,NA,NA,0.17511378833266,-0.0975401304314785
UWASoyPan00251,22,452,0.00541764285914855,0.206762028608583,769,NA,NA,0.26329744295462,0.0855693195301646
UWASoyPan00427,22,933,0.0128756980283371,0.156046814044213,769,NA,NA,0.568871749251983,-0.0785309475049143
UWASoyPan00276,22,126,0.0189511838695741,0.256176853055917,769,NA,NA,0.76752294671775,-0.0622341599086758
GlymaLee.15G199300.1.p,15,46823772,0.0240219496771353,0.107932379713914,769,NA,NA,0.898051349468289,0.0773413787148987
UWASoyPan01530,22,288,0.0322797530343496,0.427828348504551,769,NA,NA,1,-0.0514726308990638
UWASoyPan02799,22,488,0.0341593158597404,0.270481144343303,769,NA,NA,1,0.0590052833539009
UWASoyPan04967,22,265,0.0351761348305687,0.0624187256176853,769,NA,NA,1,0.0987521835148044
UWASoyPan01217,22,234,0.0366994526966692,0.137841352405722,769,NA,NA,1,0.073240120856191
GlymaLee.07G060000.1.p,7,5946726,0.0375779375668865,0.023407022106632,769,NA,NA,1,0.148457195908423
UWASoyPan03340,22,887,0.0596457061335216,0.237971391417425,769,NA,NA,1,-0.0499095474466369
UWASoyPan01253,22,473,0.0624099921533184,0.223667100130039,769,NA,NA,1,0.0521009763485805
UWASoyPan04757,22,270,0.071182351098229,0.0104031209362809,769,NA,NA,1,-0.201024522040059
