SNP,Chromosome,Position ,P.value,maf,nobs,Rsquare.of.Model.without.SNP,Rsquare.of.Model.with.SNP,FDR_Adjusted_P-values,effect
GlymaLee.06G232600.1.p,6,47173084,0.0119063247274725,0.08,75,NA,NA,1,-0.778985507246379
UWASoyPan00276,22,126,0.0203928099006926,0.373333333333333,75,NA,NA,1,-0.404635258358663
GlymaLee.03G045400.1.p,3,7010015,0.0269915504947794,0.0666666666666667,75,NA,NA,1,0.75
GlymaLee.03G045500.1.p,3,7060057,0.0350981885394742,0.293333333333333,75,NA,NA,1,-0.392367066895369
GlymaLee.03G045700.1.p,3,7283388,0.0473035796097869,0.24,75,NA,NA,1,-0.394736842105263
GlymaLee.18G075700.1.p,18,8318081,0.0524122728848613,0.0933333333333334,75,NA,NA,1,-0.567226890756302
GlymaLee.16G175200.1.p,16,38454349,0.0550012604415705,0.04,75,NA,NA,1,-0.833333333333343
GlymaLee.18G076300.1.p,18,8428804,0.0550012604415705,0.04,75,NA,NA,1,-0.833333333333343
UWASoyPan00202,22,273,0.0608125885856489,0.346666666666667,75,NA,NA,1,-0.335557299843015
GlymaLee.03G045900.1.p,3,7388482,0.0919253440260705,0.253333333333333,75,NA,NA,1,-0.331296992481203
UWASoyPan03233,22,224,0.0947590569264093,0.04,75,NA,NA,1,-0.729166666666667
GlymaLee.03G042100.1.p,3,6157517,0.0983092680328527,0.333333333333333,75,NA,NA,1,-0.300000000000002
GlymaLee.15G153200.1.p,15,15147600,0.103126611822292,0.0133333333333333,75,NA,NA,1,1.21621621621622
UWASoyPan03230,22,272,0.103126611822317,0.0133333333333333,75,NA,NA,1,-1.21621621621622
UWASoyPan01217,22,234,0.113989569305487,0.12,75,NA,NA,1,-0.416666666666667
GlymaLee.18G076600.1.p,18,8530607,0.122438446424489,0.0266666666666666,75,NA,NA,1,-0.821917808219183
UWASoyPan04757,22,270,0.122438446424497,0.0266666666666667,75,NA,NA,1,0.821917808219178
GlymaLee.15G199200.1.p,15,46802755,0.12682068144538,0.16,75,NA,NA,1,-0.357142857142858
UWASoyPan01330,22,494,0.133136719823279,0.293333333333333,75,NA,NA,1,-0.283018867924528
GlymaLee.03G042000.1.p,3,6150979,0.144634286329941,0.106666666666667,75,NA,NA,1,-0.405783582089555
GlymaLee.03G045600.1.p,3,7085900,0.165776783469561,0.0933333333333334,75,NA,NA,1,-0.409663865546218
GlymaLee.14G022000.1.p,14,1789365,0.165776783469561,0.0933333333333334,75,NA,NA,1,-0.409663865546218
GlymaLee.20G036300.1.p,20,10992199,0.178158933812291,0.0266666666666666,75,NA,NA,1,0.719178082191789
GlymaLee.20G036500.1.p,20,11048819,0.178158933812291,0.0266666666666666,75,NA,NA,1,0.719178082191789
UWASoyPan00201,22,232,0.178158933812306,0.0266666666666667,75,NA,NA,1,-0.719178082191781
UWASoyPan00953,22,399,0.188867963740171,0.333333333333333,75,NA,NA,1,0.239999999999999
GlymaLee.10G034600.1.p,10,3320931,0.206547772995131,0.04,75,NA,NA,1,0.55555555555555
UWASoyPan00316,22,405,0.215047440064376,0.0666666666666667,75,NA,NA,1,0.428571428571427
UWASoyPan01876,22,352,0.246894718298272,0.2,75,NA,NA,1,-0.25
GlymaLee.06G230600.1.p,6,46799742,0.248977384140865,0.293333333333333,75,NA,NA,1,0.21869639794168
UWASoyPan03194,22,548,0.256400324514011,0.133333333333333,75,NA,NA,1,-0.288461538461539
GlymaLee.16G111100.1.p,16,30967558,0.265452008314648,0.0933333333333334,75,NA,NA,1,-0.330882352941174
GlymaLee.06G267900.1.p,6,51554381,0.270534498468325,0.04,75,NA,NA,1,-0.486111111111114
GlymaLee.06G228600.1.p,6,46476226,0.274130691068469,0.16,75,NA,NA,1,-0.25793650793651
GlymaLee.01G088400.1.p,1,39098160,0.275121564026888,0.12,75,NA,NA,1,0.29040404040404
GlymaLee.06G229500.1.p,6,46668585,0.282310977261829,0.0133333333333333,75,NA,NA,1,-0.810810810810807
GlymaLee.16G111400.1.p,16,31003491,0.282310977261829,0.0133333333333333,75,NA,NA,1,-0.810810810810807
