SNP,Chromosome,Position,DF,t Value,std Error,effect
GlymaLee.01G010200.1.p,1,1052502,NA,NA,NA,NA
GlymaLee.01G010400.1.p,1,1063378,NA,NA,NA,NA
GlymaLee.01G011700.1.p,1,1194202,NA,NA,NA,NA
GlymaLee.01G012500.1.p,1,1261953,NA,NA,NA,NA
GlymaLee.01G030300.1.p,1,3459549,NA,NA,NA,NA
GlymaLee.01G030700.1.p,1,3514880,NA,NA,NA,NA
GlymaLee.01G030800.1.p,1,3542206,NA,NA,NA,NA
GlymaLee.01G030900.1.p,1,3567950,73,-0.517191660500027,NA,-0.0946819031617143
GlymaLee.01G031000.1.p,1,3587211,NA,NA,NA,NA
GlymaLee.01G032700.1.p,1,3777483,NA,NA,NA,NA
GlymaLee.01G033000.1.p,1,3832299,NA,NA,NA,NA
GlymaLee.01G036000.1.p,1,4285304,NA,NA,NA,NA
GlymaLee.01G042800.1.p,1,5563614,NA,NA,NA,NA
GlymaLee.01G056700.1.p,1,10323026,NA,NA,NA,NA
GlymaLee.01G088400.1.p,1,39098160,73,0.958562617670153,NA,0.24901024074045
GlymaLee.01G088500.1.p,1,39116433,NA,NA,NA,NA
GlymaLee.01G097800.1.p,1,44981654,NA,NA,NA,NA
GlymaLee.01G097900.1.p,1,45063558,NA,NA,NA,NA
GlymaLee.01G099000.1.p,1,45274788,NA,NA,NA,NA
GlymaLee.01G099900.1.p,1,45633579,NA,NA,NA,NA
GlymaLee.01G115200.1.p,1,50317610,NA,NA,NA,NA
GlymaLee.01G136600.1.p,1,52655530,NA,NA,NA,NA
GlymaLee.01G148500.1.p,1,53688369,NA,NA,NA,NA
GlymaLee.01G148600.1.p,1,53694110,NA,NA,NA,NA
GlymaLee.01G182700.1.p,1,56841248,NA,NA,NA,NA
GlymaLee.02G021300.1.p,2,2167966,NA,NA,NA,NA
GlymaLee.02G021400.1.p,2,2172118,NA,NA,NA,NA
GlymaLee.02G021500.1.p,2,2174370,NA,NA,NA,NA
GlymaLee.02G021600.1.p,2,2177214,NA,NA,NA,NA
GlymaLee.02G023600.1.p,2,2377776,NA,NA,NA,NA
GlymaLee.02G027300.1.p,2,2796431,NA,NA,NA,NA
GlymaLee.02G027800.1.p,2,2848946,NA,NA,NA,NA
GlymaLee.02G029800.1.p,2,3075893,NA,NA,NA,NA
GlymaLee.02G029900.1.p,2,3079291,NA,NA,NA,NA
GlymaLee.02G038400.1.p,2,3985481,NA,NA,NA,NA
GlymaLee.02G100000.1.p,2,11284149,NA,NA,NA,NA
GlymaLee.02G158100.1.p,2,35635189,NA,NA,NA,NA
GlymaLee.02G187800.1.p,2,44845498,NA,NA,NA,NA
GlymaLee.02G228600.1.p,2,49198872,NA,NA,NA,NA
GlymaLee.02G242900.1.p,2,50472624,NA,NA,NA,NA
GlymaLee.02G243000.1.p,2,50483302,NA,NA,NA,NA
GlymaLee.02G248800.1.p,2,50924912,NA,NA,NA,NA
GlymaLee.02G248900.1.p,2,50927774,NA,NA,NA,NA
GlymaLee.03G031000.1.p,3,4154508,NA,NA,NA,NA
GlymaLee.03G032400.1.p,3,4435347,NA,NA,NA,NA
GlymaLee.03G032600.1.p,3,4462063,NA,NA,NA,NA
GlymaLee.03G032800.1.p,3,4486697,NA,NA,NA,NA
GlymaLee.03G032900.1.p,3,4505695,NA,NA,NA,NA
GlymaLee.03G033000.1.p,3,4558277,NA,NA,NA,NA
GlymaLee.03G034100.1.p,3,4810603,NA,NA,NA,NA
GlymaLee.03G034300.1.p,3,4840460,NA,NA,NA,NA
GlymaLee.03G037200.1.p,3,5451110,NA,NA,NA,NA
GlymaLee.03G037400.1.p,3,5465533,NA,NA,NA,NA
GlymaLee.03G037600.1.p,3,5480531,NA,NA,NA,NA
GlymaLee.03G037800.1.p,3,5503441,NA,NA,NA,NA
GlymaLee.03G037900.1.p,3,5537134,NA,NA,NA,NA
